"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка функции удаления товара из корзины","563","проверка функции удаления товара из корзины","Surefire suite","Sun Jun 15 17:25:29 GMT 2025","passed","Sun Jun 15 17:25:30 GMT 2025","tests.CartTest","Surefire test","tests.CartTest","checkRemoveProduct"
"Проверка перехода на страницу корзины","602","проверка кликабельного перехода на страницу корзины","Surefire suite","Sun Jun 15 17:25:23 GMT 2025","passed","Sun Jun 15 17:25:23 GMT 2025","tests.ProductsTest","Surefire test","tests.ProductsTest","cartOpen"
"Проверка добавления товара в корзину","560","проверка добавления товара в корзину","Surefire suite","Sun Jun 15 17:25:28 GMT 2025","passed","Sun Jun 15 17:25:28 GMT 2025","tests.CartTest","Surefire test","tests.CartTest","addToCart"
"Оформления заказа без заполнения всех данных","677","попытка оформления заказа без заполнения всех данных","Surefire suite","Sun Jun 15 17:25:30 GMT 2025","passed","Sun Jun 15 17:25:31 GMT 2025","tests.CheckOutTest","Surefire test","tests.CheckOutTest","negativeSendKeys"
"Проверяем вход систему с пустым полем username","403","проверяем вход систему с пустым полем username","Surefire suite","Sun Jun 15 17:25:25 GMT 2025","passed","Sun Jun 15 17:25:25 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithEmptyUsername"
"Проверка оформления заказа с заполнением всех обязательных полей","941","проверка стандартного оформления заказа с заполнением всех обязательных дынных","Surefire suite","Sun Jun 15 17:25:31 GMT 2025","passed","Sun Jun 15 17:25:32 GMT 2025","tests.CheckOutTest","Surefire test","tests.CheckOutTest","positiveSendKeys"
"Проверка добавления товара в корзину","1529","проверка добавления товара в корзину","Surefire suite","Sun Jun 15 17:25:21 GMT 2025","passed","Sun Jun 15 17:25:22 GMT 2025","tests.ProductsTest","Surefire test","tests.ProductsTest","addToCart"
"Првоерка логина с пустым паролем","576","проверяем вход систему с пустым паролем","Surefire suite","Sun Jun 15 17:25:24 GMT 2025","passed","Sun Jun 15 17:25:24 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithEmptyPassword"
"Проверяем вход систему с неверным паролем","419","проверяем вход систему с неверным паролем","Surefire suite","Sun Jun 15 17:25:26 GMT 2025","passed","Sun Jun 15 17:25:26 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithWrongPassword"
"Проверяем вход систему с верными данными для входа","429","проверяем вход систему с верными данными для входа","Surefire suite","Sun Jun 15 17:25:27 GMT 2025","passed","Sun Jun 15 17:25:27 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkPositiveLogin"
